amount,account_age_days,transactions_last_24h,device_changes_30d,failed_attempts,international,new_device,transaction_hour,is_fraud
1776.63,1650,0,1,0,0,0,20,0
877.03,126,4,1,1,1,1,22,1
2239.48,1626,1,3,1,0,1,4,1
1760.3,573,6,4,2,0,0,6,1
1019.61,965,2,1,2,0,0,7,1
470.22,500,6,0,0,0,1,18,0
241.09,829,4,1,0,0,1,4,1
701.69,1126,1,0,0,0,0,16,0
2582.2,626,5,2,1,0,1,19,0
1358.44,1198,2,0,1,1,0,18,0
315.53,452,6,1,2,0,0,23,0
1303.99,1116,3,2,2,0,0,11,0
1612.14,1719,0,0,0,0,1,10,0
453.11,385,1,0,1,0,0,12,0
1278.86,1229,3,0,1,0,0,2,0
1162.36,363,1,0,0,0,0,12,0
349.68,1731,3,0,1,0,0,20,0
1568.36,1841,3,1,1,0,0,3,0
1921.35,498,1,1,0,0,0,23,0
3239.1,537,1,0,2,1,0,22,0
3145.73,1258,5,1,1,0,0,18,1
276.53,16,2,2,1,0,1,15,1
429.31,981,3,1,1,0,0,6,0
1835.43,1165,3,2,1,0,0,9,0
1833.14,1972,3,1,1,0,1,12,0
1835.46,620,6,0,2,0,0,7,0
51675.11,1444,1,0,1,0,0,10,1
1940.87,1480,2,2,0,0,0,11,0
3413.75,300,4,1,0,1,1,14,0
2846.94,339,2,2,0,0,1,11,1
2103.57,303,5,0,0,0,0,16,1
800.1,1916,2,0,3,0,0,18,0
2342.49,592,2,2,0,1,1,22,1
506.32,76,5,2,2,0,0,1,1
865.39,1812,2,2,1,0,0,7,0
674.95,914,3,1,0,0,0,18,0
1190.2,1974,4,1,1,0,0,21,0
11099.54,780,6,0,1,1,0,17,0
169.48,1648,2,0,0,1,0,17,0
2178.21,921,5,0,0,0,0,6,0
218.61,1340,7,1,1,0,0,1,1
684.08,1524,4,1,1,1,0,13,1
3258.27,1099,4,3,0,0,0,17,1
1169.44,1750,8,1,1,1,1,18,1
373.25,366,4,2,0,0,0,5,0
536.3,1570,2,1,0,0,0,16,0
2163.75,653,3,3,3,1,0,18,0
528.28,1006,2,1,0,1,0,23,0
1361.66,1702,3,0,1,0,0,14,0
1147.76,396,3,0,0,0,0,21,0
571.58,1255,2,2,2,0,1,0,1
9357.6,804,2,0,0,0,0,0,0
2067.14,1052,0,1,1,0,1,1,0
144.73,1499,3,1,0,1,1,2,1
1321.41,1319,1,2,0,1,1,5,0
565.78,845,5,0,1,0,0,20,0
2571.99,1451,4,0,0,0,0,22,0
496.45,872,3,0,1,1,0,20,0
977.76,1115,3,3,2,0,0,4,1
1817.08,115,3,2,0,0,1,8,1
2606.48,1183,3,0,0,0,0,7,0
330.2,1282,2,0,0,0,0,15,0
784.85,373,4,1,1,0,1,14,0
682.02,850,0,2,2,1,0,9,0
570.59,90,0,0,0,0,0,3,0
6408.97,757,1,2,0,0,0,13,0
1644.15,1322,3,2,0,0,0,14,0
310.79,31,2,1,2,0,0,17,0
2745.89,1853,3,0,1,1,0,13,0
9155.92,358,3,1,0,1,0,16,0
3079.32,1848,5,1,2,1,0,7,1
240.0,470,6,1,0,0,0,6,0
675.71,1764,6,2,1,0,1,4,1
3892.91,1875,2,0,2,0,0,4,1
540.41,1152,3,0,1,1,0,6,0
1709.27,1806,4,0,0,1,0,8,0
2379.47,270,4,0,1,0,0,19,0
434.01,1522,6,1,0,0,0,21,0
1033.26,1437,2,0,0,1,0,12,0
50.0,209,0,1,1,0,0,2,1
393.71,690,2,2,3,1,0,16,1
851.87,1330,2,2,0,0,0,8,0
314.89,1215,3,5,1,0,0,22,0
5610.59,1381,5,1,1,0,0,3,0
262.4,457,4,0,0,0,0,4,0
706.24,449,8,0,0,1,0,11,0
1249.8,68,3,1,2,0,0,17,0
4634.45,1863,1,0,1,0,0,1,0
260.9,1803,1,1,0,1,0,6,0
3509.27,1806,1,2,1,0,1,4,1
1107.91,874,6,1,1,0,0,20,0
410.96,467,1,2,1,0,0,14,0
1740.81,1384,5,0,0,0,0,13,0
1338.17,1411,2,1,0,0,0,16,0
601.71,128,6,1,0,0,1,22,0
1175.92,1800,1,2,1,0,1,10,0
745.97,733,3,1,1,0,0,21,0
1228.46,1778,8,2,0,0,0,14,0
2126.28,1509,2,0,0,0,0,22,0
5356.24,1268,3,0,0,0,0,9,0
318.04,1963,2,1,1,1,0,11,1
9256.06,1929,3,0,1,0,0,0,0
155.7,1043,5,0,3,0,1,4,1
942.2,1420,3,0,1,1,0,18,0
1974.99,1691,2,0,1,0,0,1,0
1452.43,1253,6,1,0,0,0,16,0
588.34,368,1,1,0,0,0,2,0
890.58,58,3,0,1,0,0,13,0
669.81,1305,1,3,0,0,0,5,0
608.28,557,5,0,1,0,0,14,0
2564.71,1126,3,0,1,0,0,17,0
1567.15,48,2,1,0,0,0,20,1
548.45,562,4,2,0,1,0,8,0
2696.2,593,7,1,0,0,1,15,0
1491.14,812,2,1,2,0,0,4,0
2472.2,59,0,2,0,0,0,0,1
2058.29,161,2,1,0,0,0,5,0
478.67,103,2,1,0,0,1,22,0
626.29,846,4,1,1,0,0,0,0
2315.3,412,1,3,1,1,0,19,1
2019.03,786,3,0,0,0,0,6,0
1073.95,183,2,3,2,0,0,12,1
1233.15,417,5,0,0,1,0,0,0
3935.0,1140,4,0,1,0,1,19,0
606.94,1898,4,0,2,0,0,13,0
1895.23,399,0,1,0,0,0,12,0
895.88,957,6,1,1,0,0,22,1
882.11,779,1,0,3,1,0,1,0
3290.44,1700,5,0,0,0,0,17,0
2503.43,655,8,2,1,0,0,23,0
2473.8,437,4,0,0,0,0,23,0
4045.98,318,8,0,2,0,0,17,1
1119.91,1840,4,1,1,0,0,23,0
2168.85,606,2,0,0,0,0,16,0
804.11,1274,8,1,0,1,0,20,0
1516.51,911,4,1,0,0,0,13,0
962.81,1471,1,0,0,0,1,22,0
1208.33,497,4,1,1,0,0,9,0
1988.54,1367,3,2,2,0,1,15,0
483.85,427,2,1,0,0,0,7,0
8887.38,818,6,3,0,0,1,22,0
401.01,1852,1,1,2,0,0,0,1
325.65,1023,3,1,0,1,0,2,0
3491.58,240,7,0,1,0,0,17,0
2420.34,1083,3,1,0,0,0,18,0
2046.98,1551,5,0,0,0,1,16,0
2055.65,797,3,1,3,0,0,15,0
1083.28,203,2,0,3,0,0,19,0
447.08,1773,1,1,0,0,0,3,0
1182.99,1490,3,0,2,0,1,16,0
557.15,1320,1,1,0,0,0,15,0
2907.71,287,4,1,1,0,1,6,0
946.66,73,4,1,0,1,0,12,0
480.34,726,6,0,1,0,0,20,0
795.22,1547,5,2,1,0,0,11,0
1657.28,337,3,2,0,0,0,17,1
624.08,1761,1,0,0,0,0,11,0
481.92,1342,3,1,0,1,1,15,0
1399.24,203,0,2,0,0,0,6,0
1401.04,231,2,1,0,0,0,18,0
660.54,904,4,0,0,0,0,12,0
684.69,1587,4,0,1,0,0,4,0
1383.05,1081,4,0,0,1,0,14,0
257.73,644,4,1,0,0,0,20,0
268.42,1444,1,0,1,0,0,1,1
534.62,915,3,1,0,0,0,8,0
885.85,280,1,2,1,0,0,18,0
1496.53,809,2,2,0,0,1,10,1
4795.13,1329,3,1,0,0,1,18,0
2585.46,466,4,1,0,0,0,1,0
934.55,737,3,0,2,0,0,17,0
1075.98,1198,4,1,0,0,0,0,0
402.41,804,3,2,2,0,1,19,1
1076.52,266,7,0,0,0,0,9,0
821.67,247,0,1,0,0,1,7,0
1514.32,78,3,1,1,1,0,23,0
479.51,1671,2,0,0,0,0,17,0
1843.36,1676,1,1,3,0,0,9,0
5078.34,854,4,2,1,0,0,1,1
983.62,253,3,0,1,0,0,20,0
1638.79,475,8,2,0,0,0,16,1
2186.69,176,5,1,0,0,0,5,0
734.2,1445,1,1,0,0,0,4,0
1372.09,971,3,0,0,0,1,17,0
1110.53,1956,4,2,1,0,0,11,1
1209.15,1596,4,4,0,0,0,0,0
506.23,1485,5,3,1,0,1,2,1
1123.84,1888,3,1,2,0,1,10,1
1804.43,254,4,1,1,0,1,3,1
4680.42,1544,1,0,0,0,1,7,0
2861.99,903,0,0,0,0,0,3,0
9444.45,107,3,0,1,0,0,23,0
509.1,1195,0,0,1,0,0,14,0
2623.65,58,4,0,1,0,0,18,0
1317.3,1361,2,0,1,0,1,9,0
9796.72,1366,4,2,2,0,0,22,1
488.68,942,5,2,0,0,0,8,1
473.56,1314,5,0,1,0,0,7,0
602.21,84,3,3,0,0,1,9,1
131.12,1141,5,3,1,0,0,11,0
648.23,712,4,3,0,0,0,8,0
513.3,1558,3,3,0,0,0,5,0
1274.61,1243,1,0,2,0,0,17,0
1543.42,1762,0,1,1,0,1,8,0
7159.32,1941,4,2,0,0,0,22,1
2836.78,1807,5,1,1,0,1,12,0
615.91,901,7,1,1,1,1,3,1
446.57,1126,4,0,2,0,0,17,0
1793.49,657,5,1,1,0,0,18,0
292.88,456,2,0,1,0,0,4,0
6846.27,659,0,1,2,0,0,19,0
3566.86,773,7,2,1,0,1,16,1
685.96,791,3,0,0,1,1,21,1
197.72,851,5,0,1,1,0,0,1
4246.59,526,4,1,1,0,0,20,0
977.95,266,1,2,1,0,1,16,1
3781.27,1311,2,1,2,0,0,22,0
222.64,141,4,3,1,0,0,5,0
602.22,895,3,3,0,0,0,16,0
1102.4,406,3,0,0,0,0,15,0
1149.38,293,3,1,0,0,0,0,0
699.2,1959,0,1,1,0,0,14,0
2044.38,1930,2,1,1,0,1,10,0
377.05,1055,4,1,0,1,0,7,0
951.1,1195,2,2,0,0,0,9,1
1236.82,355,2,1,0,0,0,1,0
1834.34,205,2,1,0,0,0,3,0
2234.15,1502,3,1,1,0,0,13,0
356.15,994,4,0,0,0,0,6,0
236.49,1956,1,1,0,0,0,1,0
3935.04,291,2,0,0,1,0,23,0
1528.92,111,6,0,1,0,0,12,0
518.8,1092,1,2,0,0,0,12,0
5172.71,1719,0,2,0,0,0,23,0
1231.11,373,6,0,2,0,0,18,0
3566.35,196,3,1,1,0,0,23,0
1173.23,126,2,0,0,0,0,6,0
8610.59,1711,4,1,1,0,0,4,0
6344.48,262,3,3,0,0,0,13,0
854.94,887,1,0,1,0,1,4,1
2897.41,924,0,0,1,1,0,23,0
2090.95,1822,4,0,0,0,0,23,0
4309.73,155,4,2,1,0,0,11,0
417.83,1605,3,1,2,1,0,6,0
2177.76,108,3,2,0,0,0,23,0
3160.31,1447,4,1,0,0,0,22,0
188.91,35,4,1,1,0,0,22,0
335.88,1895,3,0,0,0,0,0,0
142.7,1068,3,2,0,0,0,6,0
837.64,655,1,0,0,0,0,3,0
2247.43,723,2,0,0,0,0,1,0
4926.37,998,1,1,2,0,0,20,0
1180.97,416,5,1,1,0,0,2,0
5589.33,1000,3,0,0,0,0,18,0
275.86,285,0,0,0,0,0,0,0
199.66,1471,2,0,0,1,0,11,1
1037.38,518,3,2,0,0,1,23,0
1610.12,1754,3,1,2,0,0,13,0
1061.36,27,7,0,1,0,0,12,0
138.73,227,1,3,1,0,0,2,1
1003.13,1820,2,1,0,0,0,18,0
297.53,1925,5,1,0,0,0,16,0
2142.38,1449,4,1,0,1,0,5,0
1582.24,1592,2,0,1,1,0,9,0
428.43,1392,8,1,0,0,0,1,1
655.98,1334,0,4,0,0,0,14,1
380.23,848,4,1,0,1,0,1,0
1030.01,1129,1,0,2,0,0,17,0
2850.19,18,1,0,0,0,0,13,0
409.23,1229,2,1,0,0,0,19,0
1815.37,43,2,1,1,0,1,15,1
645.32,89,2,0,1,0,0,7,0
496.27,586,5,2,2,0,0,22,0
985.32,157,2,1,1,0,0,3,0
389.46,1290,1,1,1,0,0,13,0
630.4,134,6,1,2,0,0,3,0
331.0,464,0,1,1,0,1,2,0
7822.23,1625,4,1,1,0,0,6,1
1135.99,1772,2,1,2,0,0,11,0
544.72,1156,1,2,0,0,1,4,1
1358.29,741,3,3,2,0,0,1,0
980.12,1058,5,2,1,0,0,18,0
879.22,83,5,0,0,0,0,2,0
2026.71,929,3,0,1,0,1,17,1
2339.07,1156,5,0,0,0,0,2,1
645.16,1452,1,0,0,1,0,11,0
616.58,866,2,1,1,0,0,2,1
832.93,204,5,1,2,0,0,7,0
109.74,1823,0,0,1,0,0,5,0
241.0,1360,2,1,1,0,0,5,0
4302.17,962,5,2,0,0,0,3,1
5681.48,497,3,0,1,0,0,9,1
854.88,442,8,2,0,0,0,19,0
1951.9,828,5,2,0,0,0,16,0
1497.05,1282,1,1,3,1,0,12,1
23834.3,1316,2,0,0,0,0,7,0
3359.59,1990,2,2,0,0,0,2,1
964.96,1149,1,0,1,0,0,5,0
421.77,1980,1,0,2,1,0,13,1
219.98,1687,5,2,0,1,0,6,0
1344.08,871,3,1,0,0,0,12,0
514.73,1783,3,1,0,0,1,13,0
264.47,1199,1,0,1,0,0,8,0
574.46,1908,0,2,2,0,0,18,0
371.84,1516,4,2,0,0,0,12,0
5926.22,869,2,2,1,0,1,19,1
2648.21,1838,1,2,0,1,0,7,0
1087.92,80,4,2,0,0,0,12,0
4817.18,1643,3,1,2,0,0,15,1
1184.85,812,2,3,1,0,0,20,1
463.46,915,2,3,1,0,0,20,0
5029.74,1329,3,2,0,0,0,0,0
1879.78,1534,5,2,1,1,0,10,0
388.68,1368,6,0,1,1,0,1,1
906.56,570,3,0,0,0,0,14,0
456.86,1115,2,0,1,0,0,9,0
275.12,1671,2,1,1,1,0,18,1
2768.82,862,4,0,1,1,1,12,1
7401.34,169,0,2,0,0,1,7,0
270.81,1358,4,3,2,1,0,23,1
1925.55,1658,1,0,1,0,0,15,0
572.12,1012,4,0,0,0,0,2,0
673.76,236,3,0,0,1,1,12,1
606.44,399,1,0,2,0,0,22,1
462.21,588,4,1,1,0,0,2,0
1151.16,821,2,1,0,1,0,7,0
477.73,1013,3,1,1,1,0,8,0
1437.21,477,5,2,0,0,0,4,1
1042.9,1559,3,0,1,0,1,7,0
863.55,845,2,0,0,0,0,10,0
442.5,585,5,3,0,0,0,20,0
615.99,1112,4,1,1,0,0,15,0
2334.12,615,3,1,2,1,0,17,0
1809.7,606,3,1,0,0,1,20,0
412.59,961,4,1,1,0,1,22,1
1211.16,1852,1,1,0,0,0,17,0
2324.79,778,3,1,2,0,0,2,1
206.56,1277,2,1,0,1,0,9,0
1888.16,358,3,2,0,1,0,14,0
565.31,1082,5,1,1,0,0,1,0
1940.3,1967,2,1,1,0,0,8,0
511.19,1423,4,0,0,0,0,14,0
180.39,521,2,2,1,0,0,9,0
215.39,525,1,1,1,1,1,20,1
1150.65,1943,3,0,2,0,0,18,1
1421.86,1441,4,0,1,0,0,1,0
443.94,393,4,3,0,0,1,2,0
2076.82,1667,1,2,2,0,0,1,1
208.2,1246,3,1,2,0,0,17,1
1026.51,1353,5,1,0,0,1,15,1
326.68,1396,2,4,2,0,0,13,0
571.44,1535,2,0,0,0,0,16,0
1149.86,153,4,1,0,1,0,21,1
463.86,893,4,2,0,0,0,13,0
746.54,1903,5,1,2,0,0,10,1
2999.78,984,4,0,0,0,0,16,0
615.91,480,2,2,1,1,0,20,0
2529.29,583,1,1,3,0,0,18,1
354.35,1956,2,1,1,0,0,0,0
1862.74,857,4,1,1,0,0,22,0
4635.82,20,0,1,0,0,0,15,0
92.61,593,9,2,1,0,0,18,0
494.28,1974,1,0,1,0,0,23,0
1952.9,228,5,1,0,0,0,6,0
895.12,1370,3,1,1,0,0,14,0
1589.45,19,2,1,0,0,0,5,1
599.45,444,3,1,1,0,0,10,0
1195.82,1701,3,1,0,0,0,9,0
938.54,368,3,0,3,0,0,14,0
3525.52,899,3,0,1,0,0,0,1
1414.34,1643,4,1,0,0,0,11,0
1537.02,889,1,0,0,1,1,15,0
726.42,1884,5,4,1,1,0,18,1
673.44,726,2,0,1,0,0,8,0
711.55,1775,6,0,1,0,1,13,0
1626.93,147,2,1,0,0,0,1,1
719.83,1717,7,2,1,1,0,10,0
1465.24,1528,2,1,0,0,0,4,0
8737.69,430,1,2,0,0,0,15,0
2620.51,848,2,1,1,0,0,5,0
791.54,1464,3,0,0,1,0,1,0
3645.37,198,4,5,0,0,0,21,0
729.18,997,1,1,0,0,0,6,0
142.86,1311,0,1,0,0,1,0,0
400.18,565,4,1,0,0,0,17,0
168.88,369,3,1,2,0,0,23,0
771.62,1264,2,1,1,0,0,10,0
1117.02,802,1,2,1,0,0,15,0
5863.12,1311,3,1,0,0,0,18,0
1520.7,700,7,1,0,0,0,8,0
880.86,1419,1,1,0,0,0,15,0
2513.43,996,4,0,1,0,0,1,0
120.16,518,3,0,1,1,0,10,0
1387.99,1819,6,2,1,0,0,19,0
2370.52,775,6,1,3,0,0,2,1
249.99,561,2,0,0,0,0,10,0
3441.81,1888,1,0,0,1,1,2,1
1538.4,1736,2,4,0,1,0,7,1
723.94,60,0,1,0,0,1,4,0
2064.79,545,3,0,0,0,0,20,0
10622.11,1017,2,0,0,1,0,0,1
1315.36,303,5,0,3,0,0,14,0
1405.6,1268,2,2,2,0,0,10,0
692.73,1708,3,1,2,1,0,4,1
468.79,1231,5,1,2,0,0,1,0
2515.77,1399,4,0,1,1,0,7,0
465.87,283,1,1,1,0,0,8,0
1177.99,478,5,0,1,0,0,4,0
680.17,1046,2,2,1,0,0,0,0
1770.43,559,4,2,1,0,0,13,0
1530.98,349,6,0,2,0,0,19,0
3094.99,1513,2,2,2,1,1,20,0
658.51,1968,1,3,0,0,0,12,0
837.25,670,3,0,1,1,0,8,0
412.09,258,3,0,1,0,0,8,0
703.25,655,4,3,0,0,0,3,1
1599.27,1071,2,1,1,0,0,20,0
2337.85,1051,3,1,0,0,0,11,0
436.08,1991,1,1,1,0,1,19,1
2616.53,1051,2,1,1,1,0,10,0
4254.1,1421,4,2,2,0,0,12,0
1658.11,1975,5,1,1,1,0,17,0
7163.8,145,2,1,0,0,0,11,1
505.84,587,3,2,0,0,0,8,0
315.87,1723,2,2,0,0,0,17,0
185.17,522,1,1,0,0,0,1,0
4895.37,1145,3,1,0,0,0,15,0
2109.84,801,5,1,3,1,0,11,0
1037.34,1486,5,0,1,0,0,21,0
1450.94,1701,2,0,0,1,1,19,0
355.85,382,4,1,0,0,0,17,0
12654.3,776,2,0,0,0,0,21,0
1247.9,673,0,0,1,0,0,16,0
1223.41,1927,5,0,2,0,0,6,0
2265.99,1442,3,0,0,0,0,4,0
1774.03,327,2,0,1,0,0,0,1
1371.81,1415,4,4,1,0,0,22,0
497.47,1321,1,1,1,0,0,5,0
1757.18,630,2,3,2,1,0,9,1
7201.36,1847,3,1,0,0,1,9,0
4210.85,1799,3,0,0,0,1,22,0
5394.78,84,4,0,1,1,0,6,0
657.72,146,6,0,0,0,0,12,0
407.64,1195,3,1,1,0,0,7,1
967.01,1358,2,1,3,0,1,11,1
1159.48,424,1,1,2,1,0,14,0
3275.39,1333,3,1,1,1,0,5,0
201.85,1550,4,2,1,0,0,6,0
5062.17,661,3,2,0,0,0,5,0
936.35,1905,2,0,2,1,0,2,0
715.6,763,6,1,2,0,0,0,0
398.57,569,0,1,0,0,0,16,0
209.59,347,7,1,1,1,0,18,1
2497.81,1326,4,2,0,0,0,18,0
1180.06,1946,5,1,0,1,0,0,0
301.88,347,1,1,0,0,0,20,0
300.34,408,1,2,0,0,1,10,0
783.85,133,2,1,2,0,1,4,1
5819.8,1706,3,0,0,1,0,11,0
845.91,614,3,1,0,0,0,6,0
243.92,988,1,1,2,0,0,22,0
857.7,106,0,1,0,0,1,8,0
834.87,171,3,0,0,1,0,17,0
73.93,640,3,2,1,1,0,0,1
1038.68,1274,3,1,0,0,0,5,0
870.5,1568,1,0,2,0,0,21,0
2199.99,1752,3,0,2,0,0,19,0
6967.11,262,3,3,2,0,0,4,1
3383.16,1866,6,0,2,0,0,22,0
838.08,494,0,1,0,1,1,19,0
362.66,1268,3,2,0,0,0,0,0
14376.64,1475,3,1,0,0,0,21,0
1163.54,903,7,0,0,0,0,12,0
1112.02,1821,3,0,0,0,0,17,0
1070.49,290,5,2,0,0,0,6,0
1336.87,1287,1,0,0,1,0,14,0
949.22,1873,5,1,0,0,0,11,0
